,Tweet Date,Tweet ID,Tweet text,Tweet Location
43,2021-01-06 15:10:20,1346836505399066624,"RT @FourStoriesUVIC: PODCAST CHANNEL: Food and the ways we consume, create, and interpret food can be political. Listen to discussions abou…","Jackson, MS"
44,2021-01-04 23:34:33,1346238617719549954,"Added to our reading list, thanks @grist for the recommendation. https://t.co/cpqdMn1gzc","Jackson, MS"
45,2020-12-31 21:39:29,1344760110992687109,"Happy New Year's Eve, check out our 2020 In Review newsletter where we recap this year. Looking forward to 2021! 
https://t.co/p6wzi4YNfW https://t.co/u2ldmtGaa9","Jackson, MS"
46,2020-12-30 17:18:49,1344332124166361088,@latimes Thanks for sharing! With 💚 from Jackson!,"Jackson, MS"
47,2020-12-30 17:17:59,1344331915516514310,Checkout the @latimes article about the creative tactical urbanism installation on Duling Ave to help extend restaurant space outdoors during the COVID-19 pandemic. Done in partnership w/ @CityofJacksonMS @BloombergDotOrg @FondrenFRF #APlusSigns https://t.co/7XrascJxOV,"Jackson, MS"
48,2020-12-30 17:12:07,1344330436613296129,@BloombergDotOrg @CityofJackson @latimes Please correct to @CityofJacksonMS ☺️,"Jackson, MS"
49,2020-12-14 19:14:51,1338563120734875648,Use this link https://t.co/0Vlh6SsLhi,"Jackson, MS"
50,2020-12-14 17:07:07,1338530974066483204,"We want your feedback on the Fertile Ground project, for those who may have visited any of the installations please fill out this form, the first 100 people that fill it out receive a $10 @MamaNatures gift card! 

https://t.co/ljLcaCMPFO","Jackson, MS"
51,2020-12-07 23:32:53,1336091340170551298,"RT @CivilEats: “One of the multiple lessons of the pandemic is that we have become so dependent on the linearized industrial food system, s…","Jackson, MS"
52,2020-12-02 20:06:59,1334227585946054661,We love working with @VisitJacksonMS https://t.co/gtvfKg0MxQ,"Jackson, MS"
53,2020-12-02 18:06:42,1334197314135715842,We look forward to the grand opening of @FertileGroundMS that was partly inspired by the project to intentionally purchase and utilize local MS products in their brewing and food served at their establishment. Follow them to learn more! #smallbusiness #localeconomy #madeinms https://t.co/J2O85Uqlt7,"Jackson, MS"
54,2020-11-30 22:03:12,1333532055993454603,@foodtank Congrats Maryland,"Jackson, MS"
55,2020-11-30 22:02:50,1333531965245566977,Mississippi Goals! https://t.co/DrQE0Ycn3j,"Jackson, MS"
56,2020-11-30 22:01:50,1333531710907150336,Tips! https://t.co/iyte1eETRN,"Jackson, MS"
57,2020-11-25 16:42:58,1331639527530749954,"RT @CivilEats: “It always surprises people that if the emissions associated with food loss were a country, it would be the third largest em…","Jackson, MS"
58,2020-11-23 21:25:56,1330985963141664768,"""People are not only fighting for access to capital, people are fighting for access to live."" - @ChokweALumumba Thank you for sharing and building this project alongside the artists and community members trying to build a more equitable and just local economy. #jxnms https://t.co/B0qSjMqLRZ","Jackson, MS"
59,2020-11-22 14:10:49,1330514074480816128,"RT @center4goodfood: From @CivilEats: Portraits of farmers working the land to reclaim history, change the future, and redefine local perce…","Jackson, MS"
60,2020-11-18 12:44:34,1329042818199908353,@JacksonStateU Athletics and @UHC will be providing 400 turkeys on 11/18. Please spread the word. https://t.co/EXpbqyU805,"Jackson, MS"
61,2020-11-16 23:15:57,1328476931952676864,Exciting! https://t.co/fPRSbRevlz,"Jackson, MS"
62,2020-11-16 15:12:00,1328355144996696068,"We are proud to announce that our Healthy Communities Fellow @cinc_ms, Founder of @wurmworks, has been selected to participate in the @RWJF Culture of Health Leaders. Designed for people from all fields and fosters cross-sector collaboration around health and equity. https://t.co/NQFDO1qQR8","Jackson, MS"
63,2020-11-12 18:21:17,1326953227703693313,"Congrats to the team behind the Galloway Living Room, a learning garden for staff and students, which received a @NationalASLA award this past week! #ASLAawardss2020 🥳 https://t.co/1YJfUhw56n","Jackson, MS"
64,2020-11-03 14:35:56,1323635022985940993,"Hope you are doing well and getting out the vote today! On Saturday, November 7th we will be hosting a Planting Day at Galloway Elementary from 9:30 am - 12:00 pm. We will be planting mostly winter greens. #goodthingsjxn #jxnms #thisisfertileground #fertileground https://t.co/WzBPGx3MZW","Jackson, MS"
65,2020-10-30 13:57:17,1322175745612042241,"RT @GovLovePodcast: New episode! We talked food access, public art, and planning with @_salamrida &amp; Travis Crabtree. They manage @CityofJac…","Jackson, MS"
66,2020-10-21 18:31:54,1318983363752067073,"Come out and volunteer to plant the new Galloway Elementary #LearningGarden! We will be there Saturday, November 7 from 9:30am- 12:00pm. Hope to see you there. https://t.co/40AlpNPKp8

#farmtoschool #thisisfertileground #jxnms https://t.co/WJkWa5OUkl","Jackson, MS"
67,2020-10-16 14:32:07,1317111083895820289,"It’s Sharing the Sunshine time at the West Capitol Street Boys and Girls Club! Drive by the Capitol location starting at 11:00AM and get a delicious signature meal from Jackson’s own Chef Nick Wallace! 

Don’t miss out on this wonderful treat. Be sure to join us this Saturday! https://t.co/i0THFO6UuH","Jackson, MS"
68,2020-10-13 14:07:47,1316017794866061313,"RT @CivilEats: Canada plans to ban single-use plastics -- checkout bags, straws, stir sticks, six-pack rings, cutlery and even foodware mad…","Jackson, MS"
69,2020-10-09 23:36:27,1314711354905899015,"RT @realfoodmedia: Dr. Cindy Ayers, head farmer &amp; CEO of @FootPrintFarms uses art, agriculture, &amp; policy to grow minds, community, &amp; ideas.…","Jackson, MS"
70,2020-10-08 14:51:05,1314216752331608065,RT @SippTalk: More Details on Phase 2 with Live. Impact. Create. https://t.co/1DQpqNgv6c,"Jackson, MS"
71,2020-10-08 14:50:51,1314216695725207552,"RT @NOURISHPDX: If you think about food and conscious consumerism, animal welfare, capitalism, equity or farming, this inside look from @Fa…","Jackson, MS"
72,2020-10-07 21:21:32,1313952625113657346,"Dr. Cindy Ayers breaks down agriculture, discusses her role in the FG project, food insecurity in Jackson and the importance of small farmers in the latest episode of #Foodtopias by @RealFoodMedia https://t.co/YXkpajf7tH #footprintfarms #jxnms #thisisfertileground","Jackson, MS"
73,2020-09-28 23:08:39,1310718089814827015,"Our final fermentation video with @MrDJBaker! Learn how to make your own homemade #yogurt! If you have any further questions about the process please contact DJ Baker at esculentms(at)gmail dot com! 

#fermentation #publicart #foodaccess #valueadded 

https://t.co/kkynnuVuUU","Jackson, MS"
74,2020-09-24 17:54:51,1309189569145962497,RT @SippTalk: You can apply here https://t.co/8srhPORB4C,"Jackson, MS"
75,2020-09-24 17:54:49,1309189559402496001,"RT @SippTalk: The Live Impact Create Initiative seeks to empower artists of color in Jackson, MS to imagine+create solutions to community i…","Jackson, MS"
76,2020-09-24 14:47:41,1309142468898762757,"Join us Monday, September 28 for our final virtual fermentation workshop video with @MrDJBaker of @esculentms on creating fermented value added goods.

This workshop will cover the basics of making homemade #yogurt! The video will be posted on Facebook at 6 pm and on our website! https://t.co/xCb2i71HFr","Jackson, MS"
77,2020-09-22 15:03:25,1308421650237526017,"RT @FondrenFitness: We ❤️ our neighbors, @MamaNatures! Who doesn't love plant-based juices, smoothies, and açaí bowls?? Mama Natures makes…","Jackson, MS"
78,2020-09-21 23:03:28,1308180071681753088,"Learn how to brew your own kombucha with DJ! If you have any questions @MSMuseumArt will be hosting a Q&amp;A with @MrDJBaker on Wednesday, September 23 at 6 pm via Facebook Live. Tune in and you are welcome to send your questions ahead of time to DJ. 

https://t.co/jCKy4ZWZtC","Jackson, MS"
79,2020-09-21 18:46:17,1308115349242548232,"Join us tonight to learn how to make your own kombucha! Video drops at 6 pm on our website! 

If you’d like to purchase local scoby for your brew please contact DJ Baker at esculentms(at)gmail dot com!💚

https://t.co/3GVkOL3Ekh https://t.co/H0cFkcvTfJ","Jackson, MS"
80,2020-09-19 18:21:04,1307384226019528704,"Productive volunteer day at Galloway Elementary #LearningGarden! We’ve got the beds prepped and one section of the chalkboard outdoor classroom complete. Still need to install the remainder of the pipes, plants, and wrap up painting. Lookout for future volunteer opportunities. https://t.co/0k0QHiTVDt","Jackson, MS"
81,2020-09-18 17:39:27,1307011366709006336,"Stop by Saturday, September 19 from 11am-2pm to pick up local fresh fruits, veggies, meals, and more provided by @bgccm #foodaccess #jxnms https://t.co/LGpWUPCXRh","Jackson, MS"
82,2020-09-18 15:54:48,1306985028375719943,Meet up with us tomorrow at Galloway Elementary from 10 am - 2 pm for our volunteer day. We will be painting and moving soil. Please make sure to wear something you don’t mind getting dirty and bring your own water bottle. See Saturday morning. #fertileground #learninggarden https://t.co/HqEjGLfvog,"Jackson, MS"
83,2020-09-16 13:40:22,1306226424483926016,"Join us this Saturday from 10 am - 5 pm for the Galloway Elementary #LearningGarden Volunteer Day. We will be 
- Painting 
- Digging 
- Mixing dirt 
- Moving heavy objects 
- Putting in the hoops 
- Finishing the structure

https://t.co/V3NH5FOpbF

#foodaccess #jxnms https://t.co/hblQhz8I7I","Jackson, MS"
84,2020-09-16 01:36:33,1306044268692336641,"RT @CivilEats: “A co-op makes it all a lot less risky, and you have more of a support system.” https://t.co/RvJIGTgJfs","Jackson, MS"
85,2020-09-15 15:23:26,1305889974009704451,If you watched the fermentation video video and still have lingering questions or want to learn more please check out the Facebook Live Q&amp;A with @MrDJBaker and @MSMuseumArt tomorrow at 6 pm! https://t.co/iqQwtga1Ob,"Jackson, MS"
86,2020-09-14 23:05:32,1305643876355538945,"Special thanks to @MSMuseumArt for hosting us and making this possible. 

For follow up questions/discussion please attend the AMA with DJ and the Mississippi Museum of Art this Wednesday. September 16 on their FB.
 
#fertileground #fermentation #foodaccess #jxnms #goodthingsjxn","Jackson, MS"
87,2020-09-14 23:05:31,1305643874019414018,"Enjoy Part 01 of our three part virtual fermentation series with @MrDJBaker as he discusses Fermentation basics and dives specifically into making sauerkraut. Visit our website link below for the virtual workshop! 
https://t.co/ONp8TJGAhw
Video by: MDub Creative https://t.co/xxJ9jqPG0j","Jackson, MS"
88,2020-09-14 12:36:38,1305485608949813249,Join us tonight at 6 pm for a virtual fermentation workshop with @MrDJBaker of @esculentms on creating fermented value added goods. This workshop will cover an introduction on the basics of fermentation and then dive deeper into sauerkraut! Video will be linked on our website. https://t.co/xx8N6nYVJe,"Jackson, MS"
89,2020-09-08 22:37:59,1303462614471766017,RT @BloombergDotOrg: Public art lets us reimagine familiar settings and explore outdoors while keeping social distance. As part of our #Pub…,"Jackson, MS"
90,2020-08-27 14:17:56,1298988118163390471,"That’s a wrap for the 2020 Fertile Ground mural series! Thank you to all of the incredible artists who participated! We plan to make this an annual event. Look out for 2021 mural opportunities! 💚

#publicart #goodthingsjxn #fertileground #jxnms

Video by #MDubCreative https://t.co/ZJsQgWo6l4","Jackson, MS"
91,2020-08-24 17:10:10,1297944299640967169,"“I believe hunger can be the best quality of an artist; the drive to express yourself, and persist upon the world that you envision can be a creative person's best tool.”

#muralsjxn
#foodsecurity
#publicartchallenge","Jackson, MS"
92,2020-08-24 17:08:36,1297943904080232454,"”The monster is seemingly in a food deficient environment, however that does not stop him from finding the opportunity to eat. I feel like this design aligns with the values of the Fertile Ground project and that of an upcoming artist.

#fertilegroundjxn 
#thisisfertileground","Jackson, MS"
93,2020-08-24 17:08:15,1297943816494874626,"""Always Hungry"" by Kwasi Butler up at AND Gallery. Inspired by the stay hungry tag on the wall, the mural is a painting about opportunity, or the lack of. “I embodied this sense of hunger by creating this grotesque monster, who is pulling himself from the pits of an unseen abyss. https://t.co/pCZPJrpqOA","Jackson, MS"
94,2020-08-20 12:59:24,1296431639774535680,"RT @cassiaspeaks: Folx in Jackson, MS have been engaged in some powerful cooperative co-governance local food let’s get free movement bldg…","Jackson, MS"
95,2020-08-17 13:35:10,1295353478638952449,"In each hand is another male and female with a similar pose but holding a seedling. This represents the natural and generational growth cycle. 

Please go check out her mural and share your photos with us!","Jackson, MS"
96,2020-08-17 13:35:10,1295353477707825155,"The knowledge and tools passed down from generation to generation are necessary for sculpting our future. To illustrate this, there is a boy and girl sitting under vegetation that resembles collards with their arm extended...","Jackson, MS"
97,2020-08-17 13:35:09,1295353475107360768,"“Sowing the Seeds of Love” by Sabrina Howard is up at the JSU parkway near the Blackburn/@JacksonStateU Learning Garden. Howard’s #mural is about how we can help change the world by what we sow into our children...

#fertilegroundjxn 
#muralsjxn
#foodsecurity
#publicartchallenge https://t.co/PXKS36gefM","Jackson, MS"
98,2020-08-14 22:02:58,1294394107293585410,"Although we've had to postpone the Fertile Ground Expo for Spring 2021 we are pivoting some of our workshops online! Check out DJ Baker's upcoming virtual fermentation series on pickles, kefir, tonics and beverages in partnership with @MSMuseumArt https://t.co/yrwmDMG74h https://t.co/tgR8wZaU4k","Jackson, MS"
99,2020-08-14 21:58:31,1294392988513251329,RT @theVitaminCea: you just gotta find your way back https://t.co/QZJHTnL2dx,"Jackson, MS"
100,2020-08-14 21:58:23,1294392954145189890,"RT @VisitJacksonMS: ""Soul Sessions"" talks to Cindy Ayers, CEO of Foot Print Farms, a 68-acre specialty crop vegetable and livestock farm, w…","Jackson, MS"
